	pyrE2_A	pyrE2_B	pyrE2_C	trmB1_A	trmB1_B	trmB1_C	trmB4_A	trmB4_B	trmB4_C
HVO_RS07575	7595.87161354679	7070.07091896705	7251.54392391945	2243.64679260603	2223.67644124878	2274.18513114488	2271.92051819294	2646.8235501658	2330.44247074753
HVO_RS07850	41307.7082986364	41486.9213086207	34899.1380242937	13680.924044269	12591.1943441841	12399.0677221726	12534.2451463808	13096.0747992331	13282.0059961517
HVO_RS08205	12970.9594567291	16670.1136699792	14698.7725187303	142803.848861545	152728.112610451	128770.723832728	145807.453209828	148294.141218813	135504.617064204
HVO_RS08870	81880.8061897731	92795.4887404035	101516.518979901	12527.5435640104	10686.5629406698	10913.8344812377	16319.2044916105	25098.8094093765	28263.1124739962
HVO_RS09095	4183.88881317515	4621.35365671021	5275.33258611484	1376.13636700381	1346.54355805138	1264.82763351119	1083.10429694979	1329.4136425436	1448.94610867109
HVO_RS09325	34556.0735687854	32231.2871318248	33912.5611418828	12825.7889457082	12237.4495440375	12434.1322506264	10956.2436843034	13236.1183733159	13116.319333501
HVO_RS10515	754.953464938142	611.255968180251	877.523446028763	21718.6989576591	31415.8154528051	35656.8685237269	4625.33961489137	5111.5904540239	10477.2448440903
HVO_RS10520	542.481531692078	566.011946366305	767.450818652332	31763.7519171644	45794.0475612178	52946.1856606136	6164.36349594434	6850.1313951381	14630.2406039959
HVO_RS10645	1946.15249494533	1925.1792955526	1525.72891835663	363.834615017195	293.984098214511	354.402198300661	373.239866778772	494.153754263759	321.627051027888
HVO_RS11600	844.236883695797	701.744011808144	921.34865878049	4112.32117585761	3562.50894098634	3835.80895192553	2806.97640316377	3504.09028580151	4410.73056847336
HVO_RS11605	201.170234669146	193.902950631198	201.799816856789	1546.91588017515	1494.01754830325	1606.7067859355	1176.41426364448	1641.51075049965	1871.2846605259
HVO_RS11610	550.392720695921	611.255968180251	481.058149274769	4098.70831611207	4028.06408668342	4232.78950620577	3014.26626588426	3918.21914058936	4801.66445877999
HVO_RS12800	17785.4830504963	17134.5574041102	15329.6517441564	5367.17933785569	4513.86076045428	5139.4580276534	6398.22898209053	6560.04113453792	6555.99382802302
