	pyrE2_A	pyrE2_B	pyrE2_C	trmB1_A	trmB1_B	trmB1_C	trmB4_A	trmB4_B	trmB4_C
HVO_RS03110	1765.32531771464	1011.0653854341	1816.1983517111	90.3398874022286	85.7855237412836	81.3997981962649	525.016205010013	370.115160076095	541.459681865132
HVO_RS03115	940.301321599602	534.61813531173	1060.97782498948	33.4133830117832	40.483056147572	35.0645284537756	246.267443744854	221.068784802208	330.29040593773
HVO_RS03120	6844.30865818172	7619.46261242211	7413.59529200142	1289.509077714	1187.50298032878	1263.57532892356	2841.81999832192	2664.82915254788	2635.82573131946
HVO_RS03125	6041.88805922052	8451.39860536834	6264.96704150848	1565.47887073725	1495.94531288171	1565.38073454356	4973.77556647281	3317.03208327657	3542.22923876169
HVO_RS03130	7819.64524536977	10104.1904226533	8519.41752073685	2529.5168472624	2325.84796390694	2505.86147985732	6773.24055709768	4165.29601772124	4708.53339349919
HVO_RS03135	2162.01493776447	2645.39025503991	2385.92611748355	527.18893196369	555.196198595274	571.050891961489	2029.7870603143	1220.37971700766	1400.21473730323
HVO_RS03255	4250.56883477897	3938.99993996519	4482.40199260685	957.850313004452	824.11935728986	782.690367271778	897.665502379325	990.308131014416	915.066862352073
HVO_RS03260	2183.48816506061	1701.72922863475	2019.01735956211	451.699437011143	385.552915691162	412.008209331864	475.998944024826	580.180521200365	507.889181589494
HVO_RS03265	1429.66486998016	1144.95075610802	1441.13606583585	339.083960934392	298.803509660651	425.783559795847	372.649297369312	483.150330585821	358.446309394717
HVO_RS03480	34557.2037386431	35463.0029756781	39971.6516025575	1436.77546950668	1359.07402781135	1428.87953449136	5040.5099097418	4486.39592686834	3216.27051027888
HVO_RS04105	5257.55017798239	6275.06882137914	3446.90394247303	340.321493638533	276.634217008409	326.851497372694	2554.21269591486	3049.94898127571	1733.75390133215
HVO_RS04110	692.794122765092	763.608286533335	428.060217575006	29.7007848993628	43.3747030152558	40.073746804315	332.490577526026	410.127609814051	252.320211749151
HVO_RS04115	2594.86999326044	3270.49643397953	1705.10653334044	180.679774804457	148.437872541098	197.864124846305	1108.49878155657	1451.45161424436	907.486426805961
HVO_RS04120	553.783230268997	679.58367459315	328.179500140838	55.6889716863053	36.6275269906604	37.5691376290453	242.133457878634	326.101465364343	176.515856288033
