"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HVO_RS00045.203",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.204",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.205",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.206",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.207",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.208",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.209",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.210",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.211",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.212",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00030",1111.96579454618,-0.0140935040352846,0.0911284289815776,0,1,1
"HVO_RS00045.213",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.214",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.215",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.216",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.217",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.218",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.219",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.220",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.221",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.222",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.223",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.224",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.225",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.226",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.227",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.228",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.229",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.230",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.231",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.232",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.233",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.234",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.235",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.236",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.237",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.238",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.239",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.240",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.241",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.242",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
"HVO_RS00045.243",4149.87459758457,8.43709345314337e-08,0.118524979328068,0,1,1
